Web Site,Revenue,Growth Rate,Visits,Conversion Rate
1,3276000,13.6,78047136,1.928
2,2485716,9.6,28000000,4
3,2432000,14.264,19161819,3.76
4,2286894.4,2.4,8960000,5.96
5,2173701.6,8,3600000,4.64
6,2000000,10.912,35263816,1.92
7,2000000,6.96,17744000,2.64
8,1728000,23.456,88961170,0
9,1564160,3.2,3760000,2.68
10,1440000,25.032,12000000,2.2
11,1360000,5,15600000,1.808
12,1283642.4,23.2,22400000,2.32
13,1250792,6.56,15200000,4
14,1238976.8,3.6,6546224,1.68
15,1224000,1.6,24625627,2.16
16,1098560.8,23.2,8000000,6.56
17,1064103.2,8,50905878,1.28
18,1057680,10.4,8160000,1.92
19,1012480,10.4,24000000,2.4
20,957600,21.552,6960000,4
21,939796,12.712,18400000,2.68
22,872000,19.456,22626982,2
23,730038456,2.4,2560000,7.144
24,625600000,23.92,19440000,1.84
25,614607976,3.2,23200000,2.088
26,594720000,41,17613046,2.28
27,592703298.4,5.856,9253789,3.368
28,573236002.4,0.184,10288802,2.8
29,564000000,20.176,8000000,2.56
30,540000000,3.08,23200000,1.6
31,536024000,23.912,19600000,5.08
32,484720000,23.44,872000,4.72
